equity_curve,predicted,actual
9.56277907281093,buy,buy
9.467046062824682,buy,buy
9.372271436288607,buy,buy
9.278445598823106,buy,buy
9.185559052097952,buy,buy
9.093602392870723,buy,buy
9.002566312034887,buy,buy
8.912441593677407,buy,buy
8.823219114145777,buy,buy
8.734889841124406,buy,buy
8.647444832720241,buy,buy
8.560875236557544,buy,buy
8.47517228888174,buy,buy
8.390327313672229,buy,buy
8.306331721764074,buy,buy
8.2231770099785,buy,buy
8.140854760262073,buy,buy
8.059356638834524,buy,buy
7.978674395345082,buy,buy
7.898799862037259,buy,buy
7.819724952922004,buy,buy
7.741441662959128,buy,buy
7.663942067246919,buy,buy
7.5872183202198835,buy,buy
7.511262654854507,buy,buy
7.43606738188297,buy,buy
7.361624889014737,buy,buy
7.287927640165936,buy,buy
7.214968174696452,buy,buy
7.142739106654661,buy,buy
7.071233124029724,buy,buy
7.000442988011363,buy,buy
6.930361532257052,buy,buy
6.860981662166543,buy,buy
6.792296354163648,buy,buy
6.724298654985227,buy,buy
6.656981680977274,buy,buy
6.590338617398065,buy,buy
6.524362717728278,buy,buy
6.4590473029880116,buy,buy
6.394385761060657,buy,buy
6.330371546023521,buy,buy
6.266998177485165,buy,buy
6.204259239929367,buy,buy
6.142148382065656,buy,buy
6.080659316186352,buy,buy
6.019785817530032,buy,buy
5.959521723651381,buy,buy
5.899860933797342,buy,buy
5.840797408289514,buy,buy
5.782325167912736,buy,buy
5.724438293309786,buy,buy
5.667130924382147,buy,buy
5.610397259696764,buy,buy
5.554231555898748,buy,buy
5.498628127129951,buy,buy
5.443581344453369,buy,buy
5.389085635283302,buy,buy
5.335135482821224,buy,buy
5.281725425497294,buy,buy
5.228850056417464,buy,buy
5.176504022816118,buy,buy
5.124682025514194,buy,buy
5.073378818382726,buy,buy
5.02258920781176,buy,buy
4.972308052184589,buy,buy
4.922530261357245,buy,buy
4.873250796143207,buy,buy
4.824464667803265,buy,buy
4.776166937540492,buy,buy
4.728352716000273,buy,buy
4.681017162775337,buy,buy
4.634155485915741,buy,buy
4.587762941443772,buy,buy
4.54183483287369,buy,buy
4.496366510736287,buy,buy
4.451353372108207,buy,buy
4.406790860145971,buy,buy
4.3626744636246775,buy,buy
4.318999716481308,buy,buy
4.2757621973626145,buy,buy
4.232957529177531,buy,buy
4.190581378654062,buy,buy
4.148629455900612,buy,buy
4.107097513971703,buy,buy
4.06598134843804,buy,buy
4.025276796960883,buy,buy
3.984979738870677,buy,buy
3.945086094749904,buy,buy
3.905591826020104,buy,buy
3.866492934533041,buy,buy
3.827785462165952,buy,buy
3.7894654904208522,buy,buy
3.7515291400278525,buy,buy
3.7139725705524462,buy,buy
3.676791980006728,buy,buy
3.6399836044645046,buy,buy
3.60354371768026,buy,buy
3.5674686307119314,buy,buy
3.5317546915474685,buy,buy
3.4963982847351227,buy,buy
3.4613958310174446,buy,buy
3.4267437869689417,buy,buy
3.392438644637364,buy,buy
3.3584769311885836,buy,buy
3.324855208555024,buy,buy
3.291570073087614,buy,buy
3.2586181552112237,buy,buy
3.2259961190835496,buy,buy
3.193700662257416,buy,buy
3.161728515346455,buy,buy
3.1300764416941362,buy,buy
3.0987412370461067,buy,buy
3.0677197292258143,buy,buy
3.0370087778133756,buy,buy
3.0066052738276596,buy,buy
